song_title,performer,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
It Must Be Him,Vikki Carr,0TepCB1npldYLV9vWk8L2F,0.802,0.499,0.472,4.97e-05,4,0.672,-10.033,1,0.0527,108.638,4,0.723
It Must Be Love,Alan Jackson,16OFkCrdYH524sqvTPt6CT,0.284,0.816,0.669,0,6,0.0563,-7.925,1,0.0295,112.132,4,0.967
It Must Be Love,Alton McClain & Destiny,6chVKHXzoRvEuWwq5Wq4UQ,0.0672,0.761,0.724,0.00184,0,0.113,-11.347,0,0.0417,118.647,4,0.902
It Must Be Love,Madness,0yvomNP4HdLSmqHXkhCsgS,0.103,0.536,0.606,1.08e-05,7,0.255,-5.364,1,0.0354,146.422,4,0.719
It Must Be Love,Robin S.,1IB6OPmzFQ2aNvvaupUvZe,0.043,0.749,0.875,5.67e-06,5,0.106,-5.683,0,0.0528,109.988,4,0.615
It Must Be Love,Ty Herndon,4clg6kDhG2jceRFk8nqqRg,0.249,0.622,0.784,0,4,0.121,-4.576,1,0.0342,115.958,4,0.727
"It Must Have Been Love (From ""Pretty Woman"")",Roxette,6kvoHl80mfCVTv7XnZkjQn,0.339,0.52,0.652,6.14e-05,5,0.256,-6.655,1,0.0274,80.61,4,0.722
It Never Rains (In Southern California),Tony Toni Tone,0r4wz91MaRPgI3UtEuU7DF,0.245,0.742,0.359,1.25e-06,10,0.0797,-14.098,1,0.0423,79.862,4,0.85
It Never Rains In Southern California,Albert Hammond,6tunhVGD8C05MZNjSVIsjw,0.124,0.626,0.565,0,9,0.0811,-10.027,1,0.0271,116.61,4,0.924
It Only Happened Yesterday,Jack Scott,69cikKSonWdugzCyc38K35,0.944,0.238,0.187,3.24e-06,4,0.1,-14.015,1,0.0331,85.356,3,0.149
It Only Hurts When I Try To Smile,Dawn Featuring Tony Orlando,1hoOlXhJPYfNeBBz7Zdqrk,0.663,0.445,0.383,0.0173,7,0.148,-12.918,1,0.0264,83.661,4,0.212
It Only Hurts When I'm Breathing,Shania Twain,4vumsuBIb2nEFKLuNaOeGO,0.383,0.323,0.583,0,1,0.134,-5.112,1,0.0296,76.644,4,0.44
It Only Takes A Minute,Tavares,7L24ueXfFCegIfpxmRLbmM,0.104,0.642,0.664,0.102,5,0.658,-8.087,0,0.0334,122.598,4,0.963
It Should Have Been Me,Gladys Knight And The Pips,4iY1U3YRGoBEgaRNlvhZyJ,0.547,0.603,0.409,0,0,0.319,-13.365,1,0.0457,101.69,4,0.687
It Should Have Been Me,Yvonne Fair,3lQNVAMwqcxFCJj8mI1izh,0.634,0.663,0.485,0.000463,10,0.28,-9.468,1,0.149,184.804,4,0.871
It Started All Over Again,Brenda Lee,,,,,,,,,,,,,
"It Sure Took A Long, Long Time",Lobo,4bbbRNUiDC9GQtnAv6DmEF,0.689,0.485,0.415,0,4,0.174,-11.282,1,0.0277,150.912,4,0.506
It Takes Time,The Marshall Tucker Band,3okKVZgaeql0vACn0kwMvY,0.429,0.404,0.893,7.62e-06,7,0.81,-4.383,1,0.115,89.421,4,0.537
It Takes Two,Marvin Gaye & Kim Weston,0UERoCKd24PKovd4BwRzBQ,0.214,0.523,0.48,0,3,0.0751,-10.923,1,0.0492,151.4,4,0.81
It Takes Two,Rob Base & D.J. E-Z Rock,0gFB5H3pHN13ERt2FyMuWi,0.00228,0.8,0.723,0,2,0.26,-9.719,1,0.158,111.593,4,0.651
It Tears Me Up,Percy Sledge,1SLmCvl415HMHJXqFpUjQa,0.227,0.58,0.334,1.01e-06,4,0.101,-11.141,1,0.0442,70.66,3,0.457
It Was A Good Day,Ice Cube,2qOm7ukLyHUXWyR4ZWLwxA,0.33,0.798,0.744,0.000106,7,0.292,-5.328,0,0.136,82.356,4,0.794
It Was A Very Good Year,Della Reese,,,,,,,,,,,,,
It Was A Very Good Year,Frank Sinatra,2ID3rNM3hFBjqrLcV0Wr0y,0.862,0.215,0.142,0,7,0.113,-15.395,0,0.0325,79.608,4,0.126
It Was Almost Like A Song,Ronnie Milsap,5fO4iEznH83cwSHZLFz2lQ,0.323,0.327,0.281,0.00418,0,0.0713,-10.663,1,0.0276,147.72,4,0.151
It Was Always You,Maroon 5,2PLo8T3kGE9URFvBy3tUdt,0.082,0.613,0.765,1.25e-06,11,0.092,-6.582,1,0.0441,103.951,4,0.299
It Was I,Skip And Flip,1QJR1uYpBNVlCDS7NjpgUR,0.757,0.684,0.939,0,6,0.107,-9.546,1,0.0439,112.919,4,0.956
It Was,Chely Wright,1fC89py9z6DXa2mWvsGaJZ,0.217,0.53,0.563,2.14e-05,3,0.113,-10.407,1,0.0348,170.292,4,0.64
It Wasn't Me,"Shaggy Featuring Ricardo ""RikRok"" Ducent",3WkibOpDF7cQ5xntM1epyf,0.0561,0.853,0.606,0,0,0.313,-4.596,1,0.072,94.753,4,0.653
It Will Rain,Bruno Mars,0RUGuh2uSNFJpGMSsD1F5C,0.337,0.576,0.835,0,2,0.082,-6.826,1,0.0486,150.017,4,0.476
It Will Stand,The Showmen,3ln9brkScMKIE9MsPirzLb,0.717,0.67,0.507,0,7,0.182,-8.274,0,0.0387,145.581,4,0.847
It Won't Be Like This For Long,Darius Rucker,4gzeYkzuzxuzAUTsGcdjqA,0.335,0.584,0.524,0,4,0.11,-6.001,1,0.0287,143.863,4,0.389
It Won't Be This Way (Always),The King Pins,60PslNt1Xgk0ANIOfQY8Rg,0.332,0.865,0.687,0,10,0.133,-5.062,1,0.0514,119.979,4,0.936
