song_title,performer,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Close To You,Fun Factory,70DbNpe8D1QnGi92Mo2MK1,0.00135,0.706,0.926,0,9,0.261,-3.192,0,0.127,134.981,4,0.389
Close To You,Maxi Priest,33I3oS8UkebR3KRvqxD9X0,0.0849,0.781,0.478,3.93e-06,6,0.0877,-15.427,1,0.0561,95.992,4,0.962
Close Together,Jimmy Reed,6lY9BWuAs7clyMCFtVNXoZ,0.499,0.755,0.532,0.832,4,0.0781,-11.934,1,0.0341,95.167,4,0.936
Close Your Eyes,Edward Bear,0gFxjJvSVHbkvlrA5ErXYv,0.432,0.303,0.436,2.1e-06,5,0.0952,-15.041,0,0.0682,161.434,4,0.484
Close Your Eyes,Parmalee,5e1Ykf1AM8KG3T3fCBZhTt,0.0158,0.551,0.863,0,11,0.0843,-3.506,1,0.0322,143.952,4,0.817
Close Your Eyes,Peaches & Herb,774ZoGBhlMSZd7nI2zojbc,0.435,0.492,0.335,0,7,0.129,-9.161,1,0.0283,81.55,3,0.442
Close,Nick Jonas Featuring Tove Lo,3lSDIJ2abCrOdDJ6pshUap,0.253,0.654,0.623,0,6,0.144,-5.273,0,0.082,123.996,4,0.401
Close,Rae Sremmurd & Travis Scott,1oUudyBYVGMIC8JXeIsFzq,0.103,0.692,0.736,0,0,0.111,-4.993,1,0.0322,140.029,4,0.0395
Closed On Sunday,Kanye West,3JWiDGQX2eTlFvKj3Yssj3,0.873,0.799,0.291,0.000641,11,0.139,-7.353,0,0.0318,97.984,4,0.406
Closer Than Friends,Surface,0fJaVTWulWUQ8zp5pXabTt,0.13,0.769,0.326,1.63e-06,5,0.139,-9.551,1,0.0409,96.976,4,0.742
Closer To Fine,Indigo Girls,7rKyITVLEwldhdXIy7P6Vw,0.368,0.54,0.677,0,9,0.224,-6.349,1,0.0286,98.339,4,0.748
"Closer To Free (From ""Party Of Five"")",BoDeans,0xw22cJECqEQ8RlH0H4sHr,0.000627,0.497,0.943,0.000698,7,0.731,-4.792,1,0.0412,98.155,4,0.702
Closer To Home (I'm Your Captain),Grand Funk Railroad,3Wo5C00o4cJzCdaoY8Rov0,0.123,0.34,0.423,0.00287,7,0.109,-14.433,1,0.0365,101.284,4,0.504
Closer To Love,Mat Kearney,09b5vch8cDyMN8vYA2lEwk,0.508,0.641,0.601,9.33e-06,0,0.121,-8.51,1,0.0337,104.984,4,0.553
Closer To Me,The Outfield,7aoVXo6QZxoDM4fyXJpCDz,0.152,0.675,0.61,0.00135,9,0.124,-12.398,1,0.0355,120.98,4,0.821
Closer To The Edge,Thirty Seconds To Mars,1V82d4T5gadqzboNVWKcMj,0.0101,0.502,0.948,4.49e-06,6,0.0809,-3.717,1,0.12,139.979,4,0.102
