song_title,performer,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Golden Hour,JVKE,5odlY52u43F5BjByhxg7wg,0.653,0.515,0.593,0.162,4,0.25,-4.801,1,0.0322,94.467,3,0.153
Golden Years,David Bowie,4JRem7xHp2l0kmUvt9zCKu,0.316,0.68,0.701,4.72e-06,6,0.111,-10.36,0,0.036,108.287,4,0.933
Golden,Harry Styles,45S5WTQEGOB1VHr1Q4FuPl,0.21,0.448,0.838,0.000131,4,0.131,-5.257,0,0.0557,139.863,4,0.254
Goldfinger,Billy Strange,3Rw66IwIiHmMefQrKj6Ap9,0.638,0.314,0.801,0.921,3,0.0641,-5.38,0,0.0518,145.18,4,0.447
Goldfinger,Jack Laforge His Piano and Orchestra,4ip04RUC4DjxtK5hSv4NUC,0.624,0.341,0.415,1.04e-05,8,0.146,-7.987,0,0.0258,104.31,4,0.299
Goldfinger,John Barry and His Orchestra,1Qp2AIwskcvxfCI5fTuUQX,0.318,0.282,0.316,0.451,5,0.147,-14.29,1,0.0392,129.454,4,0.119
Goldfinger,Shirley Bassey,7r0EUONfPUZ8SD1vu4ro27,0.263,0.401,0.446,0,4,0.298,-9.646,1,0.0416,103.771,4,0.424
Goldmine,The Pointer Sisters,4Pb3zR5uAsw8w0tVwslqJe,0.129,0.792,0.835,0,11,0.305,-7.836,1,0.0625,108.74,4,0.488
Gone At Last,Paul Simon/Phoebe Snow,5oROkcna6Wods0AJXmRzS0,0.103,0.62,0.78,0.00023,0,0.047,-9.554,1,0.0379,142.414,4,0.939
Gone Crazy,Alan Jackson,12qXCe3i9WSctrfCpUfr3w,0.423,0.535,0.336,4.47e-05,5,0.0925,-12.063,1,0.0242,76.358,4,0.205
Gone Girl,SZA,2Sjx8DWZO5zaTyTAmgo2gY,0.561,0.429,0.438,0,5,0.139,-7.719,1,0.0626,150.093,4,0.417
Gone Long Gone,Chicago,0h2HPjykz5ePBbWfLLt1vN,0.00268,0.761,0.897,0.587,7,0.124,-6.863,1,0.0352,121.138,4,0.877
Gone Till November,Rod Wave,2LTJYsWOqsjntJpRy2HpY6,0.248,0.478,0.537,0,11,0.271,-8.378,0,0.111,82.902,4,0.384
Gone Till November,Wyclef Jean,6Gd123r71KDdpH8JRdYvrh,0.0957,0.673,0.538,4.41e-05,4,0.14,-7.957,1,0.0854,85.936,4,0.454
Gone Too Far,Eddie Rabbitt,648Ur5jhWSW43QuI2qXeII,0.422,0.787,0.625,0,7,0.194,-13.297,1,0.0321,131.62,4,0.938
Gone Too Far,England Dan & John Ford Coley,3HAShVDebh4NPxU0fDhk8z,0.166,0.598,0.573,0,9,0.31,-10.587,1,0.0285,125.257,4,0.645
Gone Too Soon,Andrew Jannakos,07mnxqYqssab1EEBynCuQ4,0.0175,0.529,0.723,0,4,0.364,-6.022,0,0.035,119.942,4,0.459
Gone With The Wind,The Duprees featuring Joey Vann,5qzR097Qb2ozd9NGD8L8MK,0.747,0.489,0.442,6.6e-06,0,0.174,-9.143,0,0.0275,109.442,3,0.472
Gone,'N Sync,4CCUjYJPbSXLL23BFeBVbI,0.43,0.704,0.409,0,11,0.109,-8.581,0,0.0597,113.863,4,0.495
"Gone, Gone, Gone",Bad Company,1G9k3c1P9PKnmsqeuUtGxc,0.234,0.588,0.683,1.34e-05,11,0.248,-6.843,0,0.0397,123.951,4,0.595
"Gone, Gone, Gone",Phillip Phillips,56sxN1yKg1dgOZXBcAHkJG,0.129,0.664,0.642,0,6,0.114,-5.961,1,0.038,118.006,4,0.501
"Gone, Gone, Gone",The Everly Brothers,0Suvt6p6nR713tBFWXaGtr,0.302,0.619,0.814,1e-05,11,0.0864,-10.027,1,0.0338,98.032,4,0.753
Gone,Dierks Bentley,7IhfjcaXuXCq20ZiAA7igK,0.00985,0.521,0.746,0,6,0.0741,-6.173,1,0.0351,149.977,4,0.473
Gone,Joey Heatherton,4QJKgiXg6YFs5qIWiz4Sz2,0.331,0.201,0.531,0.00938,7,0.211,-6.971,1,0.0305,188.185,3,0.601
Gone,Kanye West Featuring Cam'ron & Consequence,5RjbFGeWVsCpw8EcE8OrvZ,0.015,0.842,0.668,0,1,0.0699,-6.043,1,0.26,92.703,4,0.345
Gone,Montgomery Gentry,71lXNAROGX1zo6tX0MSnCS,0.0172,0.647,0.901,1.35e-06,7,0.0527,-5.138,1,0.0437,118.957,4,0.581
Gone,The Rip Chords,6tA3SPyCtfuhneMvqv64iL,0.654,0.407,0.862,2.5e-05,8,0.811,-6.193,1,0.124,123.152,4,0.628
Gonna Be Alright Now,Gayle McCormick,,,,,,,,,,,,,
"Gonna Catch You (From ""Cool As Ice"")",Lonnie Gordon,227rjyNRWbipxz1bMnZ4ZE,0.000825,0.84,0.668,1.05e-05,7,0.223,-9.071,1,0.0461,121.649,4,0.953
