song_title,performer,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Need To Belong,Jerry Butler,1dM6Ev8R0vTtj2QX5pw9Xq,0.82,0.576,0.442,0,7,0.249,-9.02,0,0.0311,90.176,4,0.647
Need To Know,Doja Cat,3Vi5XqYrmQgOYBajMWSvCi,0.304,0.664,0.609,0,1,0.0926,-6.509,1,0.0707,130.041,4,0.194
Need U Bad,Jazmine Sullivan,0Ri0LzOMJmqi9HGZE5cRYV,0.0232,0.529,0.659,0,7,0.114,-5.318,1,0.0629,138.196,4,0.36
Need You Bad,Ted Nugent,4363q2V1UHzgbUDItJ7KZH,0.0234,0.367,0.868,0.00974,2,0.777,-11.036,0,0.0603,166.647,4,0.59
Need You Now,Glee Cast,4kEzw2gtpxUBfgmhTEwIuE,0.0881,0.55,0.674,0,4,0.0873,-5.248,1,0.0277,108.037,4,0.248
Need You Now,Lady Antebellum,11EX5yhxr9Ihl3IN1asrfK,0.0906,0.588,0.622,0.000633,4,0.2,-5.535,1,0.0303,107.942,4,0.229
Need You Tonight,INXS,5eU8qMd0TpaLqTGDZJaLDs,0.0713,0.801,0.723,0.154,10,0.0675,-4.985,0,0.0689,109.03,4,0.883
Need You,Donnie Owens,2mwQS2E6Kwm67fZZdEhg8X,0.783,0.281,0.457,0,3,0.205,-7.38,1,0.0299,190.127,3,0.29
Need Your Love,Big Bub Featuring Queen Latifah & Heavy D,251h5GZGnBlFpwg1USb9Aw,0.0744,0.837,0.652,0.000119,2,0.305,-6.674,1,0.217,95.259,4,0.61
Need Your Love,Bobby Freeman,4kJ78p6WhR9hBHB9V0ZAmm,0.75,0.57,0.172,0.000151,0,0.0708,-18.823,1,0.0274,99.837,1,0.489
Need Your Loving Tonight,Queen,4PzUPLnioZI9MSM37vUwnW,0.326,0.604,0.877,0,9,0.241,-3.881,1,0.0392,137.813,4,0.8
Needed Me,Rihanna,4pAl7FkDMNBsjykPXo91B3,0.11,0.697,0.315,0,5,0.0825,-8.091,0,0.234,110.872,4,0.298
Needle In A Haystack,The Velvelettes,26fSgIa539TCK3KV76chHU,0.565,0.699,0.756,2.89e-06,0,0.106,-3.617,1,0.0292,77.52,4,0.74
Needle,Nicki Minaj Featuring Drake,4I4G0LD277PWvfblYtSf91,0.273,0.81,0.589,0.00133,7,0.141,-7.271,1,0.103,109.997,4,0.347
Needles And Pins,Jackie DeShannon,0mOHSrfIpL6bPeJ9UCYLqf,0.652,0.69,0.78,0,0,0.0848,-8.627,1,0.0387,112.48,4,0.84
Needles And Pins,Smokie,7MXA6SQO94JALqhIc0W209,0.0169,0.683,0.728,0,9,0.0416,-11.473,1,0.0284,122.013,4,0.767
Needles And Pins,The Searchers,0yGEtWW1560pa3KHMzh0uc,0.416,0.45,0.88,0,9,0.0797,-7.913,1,0.0559,123.918,4,0.838
Needles And Pins,Tom Petty & The Heartbreakers With Stevie Nicks,6Alshe3WYMVZRbYWgijYWT,0.0519,0.497,0.73,1.51e-06,9,0.822,-12.505,1,0.0585,119.488,4,0.381
Needy,Ariana Grande,1TEL6MlSSVLSdhOSddidlJ,0.778,0.647,0.309,7.31e-06,7,0.202,-7.948,0,0.0367,87.046,4,0.195
Negative Energy,Trippie Redd Featuring Kodie Shane,5OvxVXpGfp2rKQ3X0CqcIr,0.413,0.66,0.672,0,9,0.125,-7.442,1,0.263,139.904,4,0.446
"Neighbor, Neighbor",Jimmy Hughes,1aRzNmWBfrliYrqeqEliEo,0.41,0.914,0.672,2.24e-05,2,0.0679,-5.074,1,0.0386,122.167,4,0.954
Neighborhood Superstar,DaBaby & YoungBoy Never Broke Again,0BN8fpOPq04txIG8VmxKOg,0.109,0.821,0.714,0,2,0.298,-5.977,1,0.374,81.393,4,0.665
Neighbors Know My Name,Trey Songz,6jvvpPJQJy5rMOEkLlADl6,0.0379,0.663,0.693,0,7,0.162,-5.776,0,0.0635,120.026,4,0.391
Neighbors,J. Cole,0utlOiJy2weVl9WTkcEWHy,0.319,0.898,0.283,0.000383,6,0.11,-12.335,0,0.356,138.97,4,0.469
Neighbors,Pooh Shiesty Featuring BIG30,2xlOJSbScxrHHOmlNmILpD,0.0391,0.728,0.623,0,2,0.214,-8.066,1,0.305,145.973,4,0.805
Neither One Of Us (Wants To Be The First To Say Goodbye),Gladys Knight And The Pips,3QgSJ9CqgLPk9B4xLdwLrS,0.685,0.511,0.346,0.000124,5,0.294,-14.28,1,0.0388,140.29,4,0.599
Nel Blu Dipinto Di Blu (Volaré),Domenico Modugno,006Ndmw2hHxvnLbJsBFnPx,0.987,0.518,0.06,7.87e-06,10,0.161,-14.887,1,0.0441,127.87,4,0.336
Neon Eyes,Morgan Wallen,3kOi5KZTcCOdqFlUjF9CDZ,0.0214,0.576,0.843,8.04e-05,11,0.157,-5.26,0,0.029,126.009,4,0.628
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,1MJErNPIQUoEMu4YUUmecm,0.0541,0.859,0.563,0,1,0.0685,-6.635,0,0.112,119.934,4,0.412
Neon Light,Blake Shelton,289hx4t6fH2BBe8p6cnXo1,0.0189,0.666,0.78,1.01e-06,2,0.0635,-5.847,1,0.048,154.056,4,0.923
Neon Lights,Demi Lovato,34MJ07N9Bhu6iKPaxSVnCT,0.0767,0.631,0.819,0,9,0.1,-4.24,1,0.122,125.928,4,0.733
Neon Moonlight,Rosco Martinez,,,,,,,,,,,,,
Neon Nites,Atlanta Rhythm Section,6vY9Uvbi0kQW5OEpNow1dI,0.789,0.551,0.252,7e-06,7,0.199,-15.555,0,0.0391,135.148,4,0.324
Neon Rainbow,The Box Tops,1F898dzpPq7Erdd8pDgUad,0.771,0.56,0.339,0.000589,0,0.112,-12.303,1,0.0338,116.868,4,0.443
Neon Star (Country Boy Lullaby),Morgan Wallen,1GiwvmI57OTGcKGNigZFJb,0.494,0.705,0.671,3.75e-06,5,0.117,-6.128,1,0.0293,92.021,4,0.712
Neon,Chris Young,575wNG8uXiF5jjaSdWqdxZ,0.401,0.6,0.599,0,0,0.102,-6.102,1,0.0276,99.05,4,0.496
Neutron Dance,The Pointer Sisters,3Uyxe1fbF4zWSEwy38qgMw,0.0236,0.752,0.839,0,9,0.263,-6.879,1,0.0503,104.794,4,0.864
Neutron Star Collision (Love Is Forever),Muse,4AIazttPmHpd7p7pwJw692,0.00379,0.287,0.9,1.48e-05,1,0.0876,-5.852,1,0.0932,127.997,4,0.132
Neva End,Future,5uY9QWVdzL8Foi7emf2omj,0.00432,0.544,0.607,0,2,0.148,-6.51,1,0.0489,135.029,4,0.177
Neva Eva,Trillville,22X6L7nd5rV36isOrn4hnY,0.0191,0.777,0.809,0,7,0.0861,-4.968,1,0.0462,78.021,4,0.784
Nevada Fighter,Michael Nesmith & The First National Band,28JEhR1X2fGnLCfx6cMs0w,0.000639,0.454,0.75,0.0695,2,0.0847,-13.895,1,0.0372,105.232,4,0.671
Nevada,YoungBoy Never Broke Again,2cEnKRR4dYBB2VA1mjlb1z,0.397,0.777,0.59,0,0,0.169,-8.741,0,0.286,147.978,4,0.238
Never (Past Tense),The Roc Project Featuring Tina Arena,4cVRPrhh7mTVejhx73qA6U,0.181,0.52,0.903,1.37e-05,4,0.136,-4.315,1,0.066,146.019,4,0.747
