song_title,performer,track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Sick Of Being Lonely,Field Mob,0rBzABScu9c6D1Juislm2z,0.0016,0.692,0.921,2.05e-05,8,0.299,-4.853,1,0.105,173.837,4,0.856
Sick Of Myself,Matthew Sweet,4inXYz8i3xRpNbxZJ99Clo,0.0126,0.433,0.829,2.36e-05,11,0.084,-7.715,1,0.044,122.733,4,0.822
Sick,New Hollow,0d7OOYmfUTQ2eQD3G0klJ9,0.000246,0.663,0.681,0.000523,2,0.17,-6.385,1,0.028,109.016,4,0.674
Sicko Mode,Travis Scott,2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,0.73,0,8,0.124,-3.714,1,0.222,155.008,4,0.446
Side By Side,"Earth, Wind & Fire",1nv7USeo1Y4gqQRqD7PsPI,0.271,0.856,0.536,0.000132,5,0.114,-11.291,0,0.0377,103.781,4,0.695
Side Car Cycle,Charlie Ryan and the Timberline Riders,42VGtwRV739rKlcSePEpd4,0.992,0.57,0.457,0.57,4,0.109,-13.25,1,0.404,137.343,4,0.777
Side Effects,The Chainsmokers Featuring Emily Warren,0bGLvHd0ApdT4t0shCfpzG,0.00217,0.669,0.711,0,8,0.466,-6.758,1,0.033,110.01,4,0.544
Side To Side,Ariana Grande Featuring Nicki Minaj,43bCmCI0nSgcT7QdMXY6LV,0.0528,0.649,0.736,0,6,0.235,-5.84,0,0.23,159.182,4,0.612
Sideshow,Blue Magic,0fopVbPW7N5BK0sOybQCq2,0.837,0.586,0.337,0,7,0.628,-13.165,1,0.0347,133.229,4,0.543
Sidewalk Surfin',Jan & Dean,3fEIQIVqk3r5ISmiU1Lcbb,0.212,0.54,0.618,0,2,0.375,-13.956,1,0.0303,137.551,4,0.827
Sidewalk Talk,Jellybean Featuring Catherine Buchanan,3wnjAXKdsFmtKvDcYSysjd,0.105,0.829,0.808,2.49e-06,10,0.406,-10.874,1,0.0454,115.35,4,0.945
Sidewalks,The Weeknd Featuring Kendrick Lamar,4h90qkbnW1Qq6pBhoPvwko,0.147,0.542,0.72,0,1,0.348,-5.136,0,0.0628,149.828,4,0.623
Sideways,Dierks Bentley,19DnL1HnJiijuEfaiS0Eus,0.141,0.624,0.915,0,5,0.386,-2.627,0,0.0364,108.046,3,0.815
Sie Liebt Dich (She Loves You),Die Beatles,2oIuFychuWQaAFABChPQhN,0.975,0.206,0.312,0.0143,0,0.702,-14.721,1,0.0526,179.214,4,0.0644
Sign 'O' The Times,Prince,7CqFMR3yj95Yuwagq5XsLR,0.00524,0.794,0.431,0.033,0,0.0794,-10.182,1,0.0854,98.875,4,0.498
Sign Of The Gypsy Queen,April Wine,6F1pmXSQ0qt5SsmOqh9Bjg,0.111,0.419,0.547,7.74e-06,4,0.163,-14.29,0,0.0375,138.415,4,0.409
Sign Of The Times,Harry Styles,5Ohxk2dO5COHF1krpoPigN,0.0275,0.516,0.595,0,5,0.109,-4.63,1,0.0313,119.972,4,0.222
Sign Of The Times,The Belle Stars,0ftI96GEGTvqEyDqhI35Hx,0.224,0.699,0.68,0,11,0.0529,-8.228,1,0.0599,113.889,4,0.857
Sign Your Name,Terence Trent D'Arby,3lIpkjFnRxJ6Uvm8DgtgfV,0.202,0.899,0.422,5.08e-06,4,0.0864,-11.238,1,0.0509,109.147,4,0.852
Signal Fire,Snow Patrol,,,,,,,,,,,,,
"Signed, Sealed And Delivered",Rusty Draper,,,,,,,,,,,,,
